,Date,USD,EUR,BRL,CAD,HKD,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,RUB,HRK,JPY,THB,CHF,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,MXN,SGD,AUD,ILS,KRW,PLN,ISK
2353,2019-03-12,1.0,0.8869179601,3.8177383592,1.3402217295,7.8499334812,52.889578714,6.6165853659,279.689578714,22.7645232816,0.7640354767,4.2211086475,9.3760532151,14265.1884700665,69.6385809313,65.7246119734,6.576940133,111.1042128603,31.6603104213,1.0083370288,4.0839911308,1.7346341463,5.4577383592,6.7089135255,8.6354767184,1.4577383592,14.2958758315,19.3061640798,1.3562749446,1.4125055432,3.6208425721,1129.8270509978,3.8132150776,120.44345898
2354,2019-03-13,1.0,0.8847208706,3.8273024861,1.3347783774,7.8499513404,52.7045917013,6.6001061665,278.3331858799,22.7090153057,0.7597982836,4.2233920198,9.3373440679,14236.7955410068,69.5939131204,65.4700521985,6.5624170574,111.3775103955,31.6101919844,1.0061930461,4.0895337521,1.7303370787,5.4650092896,6.7077766965,8.6034681058,1.4631513757,14.331327966,19.3054941166,1.3558347341,1.4159957533,3.6150579492,1131.6641599575,3.8036804388,117.8448199593
2355,2019-03-14,1.0,0.8853474989,3.8362107127,1.3345728198,7.8499335989,52.7675962815,6.6068171757,278.379814077,22.7250996016,0.7545639664,4.2186808322,9.3291722001,14298.7516600266,69.4758742807,65.4493138557,6.5705179283,111.6334661355,31.7804338203,1.004957946,4.0885347499,1.7315626383,5.4751660027,6.7272244356,8.6015936255,1.4683488269,14.5037627269,19.3735281098,1.3567950421,1.4192120407,3.600708278,1136.4497565294,3.8098273572,118.5480301018
2356,2019-03-15,1.0,0.8843296781,3.8535550053,1.3369296074,7.8498408207,52.6096568801,6.6001061196,277.989034312,22.6989741776,0.7553501946,4.2063141139,9.2822780333,14275.9992925363,69.0431552883,65.3725680934,6.5608418819,111.5670321896,31.6996816413,1.0045985143,4.0830385568,1.7295719844,5.4702865228,6.7140077821,8.5673859215,1.4619738238,14.4837283339,19.2630880792,1.3541740361,1.4138662894,3.5999292536,1136.0541209763,3.8069508313,117.52741422
2357,2019-03-18,1.0,0.8811349018,3.8173407349,1.3335095603,7.8499427262,52.699797339,6.5751167504,277.0111904133,22.5711516433,0.7547801568,4.1891796634,9.2204599524,14237.3777425324,68.5355537933,64.2538549652,6.5334390695,111.4988104679,31.6803242576,1.0009692484,4.076394396,1.7233236408,5.4610978941,6.7130143625,8.5223367698,1.457132787,14.3778306459,19.1632742973,1.3512203718,1.4081416865,3.6040179752,1131.9587628866,3.7870296942,117.2790554234
2358,2019-03-19,1.0,0.8804366966,3.7751364677,1.3259376651,7.8500616306,52.8517344603,6.5701708047,275.7703821095,22.5427011798,0.7531959852,4.1895580208,9.1992428244,14175.0044021835,68.9830956154,64.3653812291,6.5300228914,111.4544814228,31.6798732171,0.9995597817,4.0704349357,1.7219580912,5.4755238598,6.7121852439,8.5177848213,1.4558020778,14.4150378588,18.999207607,1.3507659799,1.4074661032,3.6054763163,1129.7323472442,3.7752245114,116.833949639
2359,2019-03-20,1.0,0.8807468733,3.7882684516,1.3321296459,7.8499207328,52.8818037696,6.5724854677,275.9291879514,22.5876343139,0.7599084023,4.1936762374,9.1870706359,14164.9991192531,68.818037696,64.2980447419,6.5332041571,111.5289765721,31.7350713405,0.998590805,4.0610357583,1.7225647349,5.4740179672,6.6949092831,8.5357583231,1.4591333451,14.4251365158,18.9508543245,1.3506253303,1.4091069227,3.6087722389,1129.082261758,3.7725911573,117.051259468
2360,2019-03-21,1.0,0.8781944322,3.769561781,1.3338895231,7.8474576271,52.5950645473,6.5536137701,276.253622552,22.5239307983,0.7609554755,4.177131817,9.158514095,14117.0018442083,68.5619566172,63.7072977957,6.5144462984,110.5822429086,31.7203828928,0.9931500834,4.0468077632,1.7175726706,5.4588565908,6.6916659348,8.4462984105,1.4507772021,14.1947835251,18.8181259331,1.3480284535,1.4037937999,3.5988407833,1128.7959954334,3.7592869061,117.9415122508
2361,2019-03-22,1.0,0.8847991506,3.871881083,1.3409131127,7.8466643072,52.5013271987,6.6025482216,279.800035392,22.7632277473,0.7599539904,4.2032383649,9.2658821448,14198.0003539197,68.9771721819,64.362502212,6.5632631393,110.2459741639,31.6696159972,0.994779685,4.0645018581,1.7304901787,5.5723765705,6.7127941957,8.5314988498,1.4539904442,14.3752433198,18.9742523447,1.3507343833,1.4088656875,3.6120155725,1135.029198372,3.7969385949,119.7133250752
2362,2019-03-25,1.0,0.8830022075,3.8880353201,1.3425165563,7.8488300221,52.4600441501,6.5912582781,279.770419426,22.7452538631,0.7561854305,4.1989403974,9.2229580574,14180.0,68.914790287,64.2513024283,6.5492273731,110.0662251656,31.6150110375,0.9922295806,4.0689624724,1.7269757174,5.6004415011,6.7121412804,8.5289183223,1.4492715232,14.3926710817,19.0762913907,1.3497571744,1.4067108168,3.6239293598,1132.9536423841,3.7927593819,120.353200883
